组	旧事实	新事实	载体	原文
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/prior-art.md:78	必须在预算里，见 `.claude/singlefs-ai-sop/rules/test-discipline.md`「模型对拍」。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/prior-art.md:503	这正是 `.claude/singlefs-ai-sop/rules/test-discipline.md` 说的模型对拍，
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:5	门禁的未实现清单今天剩模型对拍、QEMU 崩溃注入与 shell 命名纪律三条；崩溃点重放由 54 号覆盖，射程是那两条流；QEMU 真实负载由 55 号覆盖，射程只到第一个事务。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:15	| **事务层**（被测对象） | 没有单独阶段；模型对拍、崩溃点重放、QEMU 负载三条都以它为前置 | mkfs 参数、一串操作、一个块设备 | 镜像，以及一条写请求流（给崩溃点重放用） | 项目 `CLAUDE.md`「第一个可运行目标是正确提交一个事务」；结构约束在 D13（验证路线）的 `CommitStep` 封闭枚举与 D17（实现分层与第三方管道）的腰线 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:16	| **checker** | 是模型对拍与崩溃点重放两条阶段共同的判决器，本身对应 O2（独立解析器 + checker） | **一个**镜像 | 每条不变量的成立 / 不成立 / 不适用 | D13（验证路线）已定：一元谓词，只判单个镜像，不许调用被测 crate 的任何反序列化或遍历代码；[invariants.md](invariants.md) 是它的规格 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:19	模型对拍（O1（内存模型对拍（HashMap 理想文件系统））与 D13（验证路线）已定项 3 的 RefFS）
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:32	└─▶ 记录核对器 / 模型对拍
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:76	| 用户数据的落点与政策函数不一致的次数 | 政策函数 = 已选设备内槽号最小、过准入合取、不在开放段与 `R` 内（D3（空间分配） 已定项 8 第 1 条 + D26（后台整理与放置回收） 已定项 1 第 3 条），模型对拍时逐次分配比对（C146（无空段时的回落政策全仓无定义） ②） | 非 0 判红 | 同上 `policy_mismatches`；2026-09-17 之后比较那一步被删掉（发出去的落点就是各盘一致的答案），这个计数恒 0、口径要改。 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:234	| 5 | 记录核对器接进每个崩溃状态、最小 RefFS、模型对拍阶段 | 三个判决器凑齐，才谈得上「三 oracle 合谋测试」；fsync 的持久性承诺由 RefFS 的崩溃语义定义（D17（实现分层与第三方管道） 已定项 4，2026-09-13） |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/kb/verification-build.md:237	2026-09-14 现状：里程碑「第一个事务」步 0–7 做完（[milestone/01-first-txn.md](milestone/01-first-txn.md)），覆盖了「推荐的落地顺序」那张表的第 0、2、3 步、第 1 步的大部分（门禁的未实现清单没改成按不变量逐条报）与第 4 步里的第一个真事务，第 5 步的记录核对器已接进层 0 的每个崩溃状态；覆盖写事务、第 2′ 步的 crash refinement、第 5 步的 RefFS 与模型对拍、第 6 步的 O3（独立规约执行器） 都还没有代码（`grep -rn RefFs crates/` 零命中）。（覆盖写事务 2026-09-16 起有代码：里程碑「第二个事务」步 1 / 步 2，`crates/singlefs-core` 的 `publish_overwrite` 与 `release`。）
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	.claude/skills/crash-test/SKILL.md:3	description: 跑 singlefs 的验证套件——LKMM 内存序、QEMU/KVM 压测、崩溃点重放、模型对拍。判断写路径对不对、或要给并发改动补验证时用它。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	CLAUDE.md:89	「拿现成工具的输出当标准答案」的便利这里不存在。功能正确性只能靠模型对拍，
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	README.md:70	| 模型对拍 | 功能正确性：随机操作序列与内存里的理想模型比对。**还没实现**，门禁把它列在未实现清单里 |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-25-立项.md:59	- 门禁：已实现的 4 个阶段全绿；模型对拍 / 崩溃点重放 / QEMU 压测**未实现**，
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-26-文献扫描与第一次实测.md:7	门禁 7 阶段全绿；模型对拍 / 崩溃点重放 / QEMU 真实负载三阶段仍未实现。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-27-介质分支定案.md:13	模型对拍 / 崩溃点重放 / QEMU 真实负载三阶段仍未实现。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-28-原子性与日志定案.md:13	模型对拍 / 崩溃点重放 / QEMU 真实负载三阶段仍未实现。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-29-加密与日志定案.md:13	模型对拍 / 崩溃点重放 / QEMU 真实负载三阶段仍未实现——
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-29-审计轮-外部引用复核与阻塞集.md:13	模型对拍 / 崩溃点重放 / QEMU 真实负载三阶段仍未实现。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-08-30-三轮攻击轮.md:99	崩溃点重放、模型对拍、QEMU 真实负载三个门禁阶段仍未实现。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-09-03-验证三件套落地调研.md:11	`gate.sh` 每次都打印三条未实现阶段：模型对拍、崩溃点重放、QEMU 真实负载。
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-09-03-验证三件套落地调研.md:33	| 第一版的**运行载体**（纯用户态库、FUSE、内核模块） | 全仓没有一条决策提过；D7 只说不进主线。它不挡第一个事务，但挡模型对拍与 QEMU 负载两条阶段的形态 | **D17 分项 5**（当天晚些定案成已定项 5） |
F1	「与理想模型对拍」没有：`.claude/singlefs-ai-sop/scripts/gate.sh` 的未实现清单里「模型对拍」一直挂着，`.claude/gate.d/` 里没有任何阶段声明 `# gate-covers: 模型对拍`，层 0 的多版本 oracle 只答「这个崩溃状态恢复到的版本在不在允许集合里」	理想模型 `crates/singlefs-harness/src/model.rs`（只用 `singlefs_format` 的常量，D13（验证路线） 已定项 5）与模型对拍胶水 `model_comparison.rs` 接好；随机历史每一步拿实现的结局与只住内存的模型比	records/2026-09-17-自包含元数据下的索引探索.md:13	- 候选按「保不保得住、加不加强可验证性」来判：崩溃点可枚举、checker 独立、模型对拍。自包含元数据让宽松的索引也能对着单元核，这是杠杆，不当代价写。
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/experiment-designer.md:14	开工先读：`.claude/singlefs-ai-sop/rules/test-discipline.md`「实验开跑之前，答案不许已经存在」「实验的失败条款不许让结论不可证伪」「阳性对照必须对**每一条**被测的臂都跑」「只让多条臂互相比，测不出「所有臂一起错」」「端点不是轨迹：被条款当谓词输入的量，实验要报轨迹」；`.claude/rules/three-way-inference.md`「交岔路时写岔路单，派实验时带上它」；`.claude/singlefs-ai-sop/rules/evidence-discipline.md`「不许先有结论再建模型」；`.claude/rules/mutation-sampling.md`「第六类：跑前写死的判决只在一个几何 / 旋钮取样点上量过」；`.claude/rules/implementation-first.md`。
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/experiment-designer.md:29	3. 登记写明：问题，连同岔路单逐行抄进来，第六节每个量写明它对应岔路单的哪一行、取什么值会让那一行翻面——对不上任何一行的量不登记，确要顺带量的标「附带，够判后不跑」；每条臂的定义（「怎么做」与「做完会怎样」要推得出，对面那条臂写成支持它的人认的样子）；阳性对照（每条臂都跑）与真实基线；每个量各占一行的判据与门槛（门槛不能从臂的定义直接推出）；钉绝对值的断言；被谓词消费的量报峰值、为正轮数、期末值；几何敏感性那一行（至少一个方向相反的取样点）；失败条款，每条紧跟「什么观测会让它触发」；作废条款；装置与 `crates/` 实现对不上时的停机条款（`implementation-first.md` 第 4 条：两边都查，既不作废也不当结果）。纯算术题里不适用的格（没有臂、没有轮次）写明为什么不适用，不硬凑。钉绝对值的锚点分两类写：出自被测条款本身的（不符时走「条款可能错」的失败条款）与独立算出、用命令核过的（不符才作废）。给执行员列的每条变异，写明它在哪个取样点上改变输出。计时类的量写明在哪个进程里、用谁的时钟计：在被测进程里自己计时并写进结果行，或先把子进程输出整份读完再转打；不拿「
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/experiment-designer.md:45	| `## 八、轨迹与几何敏感性` | 被谓词消费的量报峰值、为正轮数、期末值；至少一个方向相反的取样点 |
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/experiment-designer.md:46	| `## 九、变异` | 给执行员列的每条变异，写明在哪个取样点上改变输出 |
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/experiment-runner.md:27	2. 写 `research/e7-index-bench/src/bin/e<号>_<简称>.rs`，在 `research/e7-index-bench/Cargo.toml` 末尾追加它的 `[[bin]]`（`name` 用连字符，与 `replay.sh` 登记行里的 bin 名一致；只追加，不改别人的）：纯算术的计数模型、单测、钉绝对值的断言；取样点覆盖登记里每一个会跑到的取值。写完跑 `bash .claude/scripts/naming-lint.sh`，新文件里的缩写与单字母名在这一步改完再往下走，不留给后面的门禁阶段。
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/implementation-writer.md:18	- 里程碑文件与步号（或并行线编号，或 `mutation-triage` 报告里要补取样点、补断言的条目），这一步的验收标准。
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/mutation-triage.md:28	6. 没红与无效的逐条按 `mutation-sampling.md` 分类；判「取样点不敏感」的，解出让两个式子跨过整数边界的那个输入；判「等价」的，写出在所有输入上同值的理由。
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/agents/mutation-triage.md:32	- 报告文件、草稿目录。不改变异表、不改源码、不改测试（补取样点、补断言由主 agent 另派：crates 那侧派 `implementation-writer`、把这份报告当输入，research 那侧派 `experiment-designer` 写重跑登记）。
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/kb/checks-owed.md:130	| C126 | 切换预留的最坏量没有口径 | **可写挂载的准入合取里有一条「实例切换的预留拿得到」（D2（RAID 条带策略） 已定项 13、D23（journal 的角色与格式） 已定项 14），而它要的那个量——「一次固定点重做的最坏量」——全仓没有任何数。**一条会把文件系统判成只读的准入条件，它的阈值不存在。**第一轮三方论证（2026-09-12，`research/prompts/c126-r1-main-verification.md`）把它拆成三截；2026-09-13 用户定案把①②③全定了，权威正文 D28（挂载期承诺量） 已定项 3 与已定项 2；**模型层已还（2026-09-13）**：判别力自证由 E141（切换预留的挂载准入自证） 在计数模型里做了，五条判据全过；同日第二次跑把 D16（发布语义） 已定项 8 的暖机 N_switch × R × c_max 加进份额（c_max 4 / 9 两档），28 个取样点照过；**仍欠**：实现侧的挂载准入写出来之后照它对拍，三块盘以上两份副本落哪两块盘没定**：① 实例表链重写有式子：一次切换写 副本数 ×
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/kb/checks-owed.md:158	| C157 | 树表容量在两处按不同条目宽算 | **D22（单元原子性怎么合成） 已定项 7 正文与 E79（根记录的容量） 报「树表单元装 243 棵/层」，用的条目宽是 67 字节（树 ID 8 + 根指针 59）；而 D8（核心索引结构） 已定项 8 定下的树表条目是 **121** 字节（另有长度 2 + 种类 2 + flags 2 + `previous_snapshot_txg` 8 + 诞生 txg 8 + 预留 32）⇒ 真实容量 **134** 棵/层。两处差 109 棵，而 D22（单元原子性怎么合成） 那个数是「什么时候要嵌第二层」的判据。**⚠️ 方向不变（间接层躲不开），门槛比正文写的低 | **kb 这一半 2026-09-13 已收口**：D22（单元原子性怎么合成） 已定项 7 统一按当时的 145 字节条目算成 112 棵/层（码 2 三档头同值），2026-09-16 条目加宽到 200 之后正文跟着改成 81 棵/层；仍欠：E79（根记录的容量） 加一档：条目宽取 D8（核心索引结构） 已定项 8 的现行字段表算一遍，并把「越过一层之后每次发
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/kb/checks-owed.md:189	| C188 | 认领规则的正文与它的实验实现是两条 | **D18（块里携带什么信息） 已定项 11 与 C89（单元头收口的遗留重算） 第 ② 笔逐字「认领时按**声明长度**把整段载荷跳过去，载荷内部的探针不再参与认领」，而支撑它的 E88（冒名单元与孤儿单元的判别） 源码里 `声明长度` / `decl` 出现 0 次**——`e88_impostor_orphan.rs:35` 是 `PROBES_PER_UNIT = UNIT / STEP`，认领之后按**整单元**跳（`:156-160`）。⇒ 决策正文写的规则从来没有和它引以为据的实测对上过。按 `.claude/rules/mutation-sampling.md` 三分，E88（冒名单元与孤儿单元的判别） 对这两条规则是**取样点不敏感**：不是盲区也不是等价，欠一个能分辨它们的取样点 | 夹具补一个取样点：`声明长度 < 16280` 且在补齐区植一个合法头，两条规则必须给出不同的错分数；给不出就说明装置仍分不开它们。判别力自证：把跳过方式换回按声明长度，该取样点必须由绿转红 | 与 C89（单元头收口的遗留重算
F2	增补 3 第 2 件（模型对拍）在这一阶段开工前还没有随机历史的取样点	随机历史的取样点扩到五段：快档、偏向抬 F 之后复用的取样点、偏向抬 F 之后回退的取样点、逼近分配记录墙的取样点、新增的小盘上逼近单元区墙的取样点（两块单元区 384 槽的小盘，比重 `TOWARD_THE_UNIT_AREA_WALL`，每一步跑池级 checker）	.claude/kb/checks-owed.md:198	| C198 | 映射 key 与节点头常量没有 format-const 登记位 | **`grep -rn "format-const" .claude/kb/` 现查：中央映射 key 的宽度在 kb 里没有登记位**，而 `research/e7-index-bench/src/bin/e109_position_authority.rs:62` 有 `const KEY_BYTES: u64 = 33`、`e116_pack_settle.rs:81` 有 `const MAP_KEY: u64 = 33`；两处算同一个映射树节点头的常量（`e109` 的 `MAP_NODE_HEADER_BYTES = 76` 与 `e116` 的 `NODE_HDR = 86`）**取值还不一样**，只是在两轮论证用过的那两个取样点（key 33 / 41）上恰好都给出 267 / 236。⇒ D19（块指针的结构与宽度预算） 已定项 6 定案之后改完 kb，`.claude/gate.d/27-format-constants.sh` 对这几处源码**一个字都不会说**（C187（源码
